Loan Type,Encoded Value
"Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Mortgage Loan, Auto Loan, Home Equity Loan, and Personal Loan",128
"Mortgage Loan, Auto Loan, Personal Loan, Credit-Builder Loan, Payday Loan, Not Specified, Not Specified, Home Equity Loan, and Credit-Builder Loan",841
"Home Equity Loan, Auto Loan, Debt Consolidation Loan, and Not Specified",392
"Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, Not Specified, and Credit-Builder Loan",168
"Debt Consolidation Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Personal Loan",143
"Payday Loan, Auto Loan, Auto Loan, Credit-Builder Loan, Mortgage Loan, and Home Equity Loan",170
"Debt Consolidation Loan, Student Loan, Student Loan, Credit-Builder Loan, and Personal Loan",323
"Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Home Equity Loan, Not Specified, and Personal Loan",716
"Not Specified, Personal Loan, Mortgage Loan, Credit-Builder Loan, Personal Loan, Personal Loan, and Auto Loan",750
"Mortgage Loan, Student Loan, Payday Loan, Home Equity Loan, Auto Loan, Payday Loan, and Payday Loan",701
"Credit-Builder Loan, Not Specified, Not Specified, and Personal Loan",732
"Not Specified, Credit-Builder Loan, Student Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",298
"Home Equity Loan, Student Loan, Debt Consolidation Loan, Auto Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, and Personal Loan",319
"Not Specified, Mortgage Loan, Debt Consolidation Loan, and Home Equity Loan",217
"Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, and Debt Consolidation Loan",688
"Debt Consolidation Loan, Student Loan, Debt Consolidation Loan, Personal Loan, and Debt Consolidation Loan",986
"Payday Loan, Debt Consolidation Loan, Not Specified, and Home Equity Loan",633
"Home Equity Loan, Personal Loan, Auto Loan, Auto Loan, Payday Loan, Home Equity Loan, and Mortgage Loan",347
"Auto Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Not Specified, Home Equity Loan, Payday Loan, and Student Loan",321
"Mortgage Loan, Not Specified, Debt Consolidation Loan, and Debt Consolidation Loan",888
"Mortgage Loan, Debt Consolidation Loan, Auto Loan, Not Specified, and Payday Loan",930
"Credit-Builder Loan, Auto Loan, Personal Loan, and Home Equity Loan",135
"Home Equity Loan, Not Specified, Payday Loan, and Auto Loan",868
"Not Specified, Mortgage Loan, Debt Consolidation Loan, Not Specified, Not Specified, and Debt Consolidation Loan",843
"Home Equity Loan, Not Specified, Auto Loan, Student Loan, and Mortgage Loan",123
"Home Equity Loan, Payday Loan, Debt Consolidation Loan, and Home Equity Loan",376
"Home Equity Loan, Payday Loan, Debt Consolidation Loan, Auto Loan, and Student Loan",761
"Debt Consolidation Loan, Student Loan, Student Loan, and Credit-Builder Loan",526
"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",630
"Auto Loan, Personal Loan, Mortgage Loan, Student Loan, Credit-Builder Loan, Payday Loan, and Home Equity Loan",130
"Auto Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",830
"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, and Home Equity Loan",580
"Not Specified, Mortgage Loan, Student Loan, and Mortgage Loan",364
"Auto Loan, Mortgage Loan, Credit-Builder Loan, Payday Loan, Auto Loan, Student Loan, and Home Equity Loan",947
"Student Loan, Debt Consolidation Loan, Home Equity Loan, Home Equity Loan, Not Specified, Mortgage Loan, and Student Loan",619
"Credit-Builder Loan, Auto Loan, Auto Loan, Mortgage Loan, and Payday Loan",623
"Personal Loan, Not Specified, Mortgage Loan, Payday Loan, and Payday Loan",738
"Student Loan, Not Specified, Auto Loan, Mortgage Loan, Auto Loan, Mortgage Loan, and Student Loan",211
"Debt Consolidation Loan, Not Specified, Not Specified, Payday Loan, Credit-Builder Loan, Home Equity Loan, and Mortgage Loan",927
"Personal Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, and Mortgage Loan",325
"Payday Loan, Mortgage Loan, Debt Consolidation Loan, Student Loan, Personal Loan, Student Loan, Debt Consolidation Loan, and Personal Loan",792
"Student Loan, Personal Loan, Personal Loan, Personal Loan, and Debt Consolidation Loan",673
"Personal Loan, Student Loan, Payday Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",129
"Credit-Builder Loan, Student Loan, Student Loan, and Student Loan",608
"Student Loan, Student Loan, and Student Loan",103
"Auto Loan, Debt Consolidation Loan, and Credit-Builder Loan",377
"Auto Loan, Personal Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, Auto Loan, and Auto Loan",521
"Not Specified, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Mortgage Loan",105
"Personal Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Auto Loan",638
"Student Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, and Credit-Builder Loan",156
"Mortgage Loan, Mortgage Loan, Auto Loan, and Auto Loan",180
"Credit-Builder Loan, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, and Mortgage Loan",147
"Payday Loan, Payday Loan, Payday Loan, Home Equity Loan, Auto Loan, Mortgage Loan, and Mortgage Loan",881
"Auto Loan, Payday Loan, Personal Loan, and Student Loan",120
"Student Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan",355
"Auto Loan, Not Specified, Personal Loan, Personal Loan, and Auto Loan",141
"Student Loan, Home Equity Loan, Mortgage Loan, and Payday Loan",435
"Home Equity Loan, Payday Loan, Mortgage Loan, Payday Loan, Payday Loan, Not Specified, Credit-Builder Loan, Home Equity Loan, and Payday Loan",969
"Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Payday Loan, and Debt Consolidation Loan",662
"Personal Loan, Auto Loan, Student Loan, Personal Loan, Auto Loan, Payday Loan, and Payday Loan",512
"Home Equity Loan, Personal Loan, Payday Loan, and Personal Loan",157
"Debt Consolidation Loan, Student Loan, Home Equity Loan, Student Loan, Payday Loan, Debt Consolidation Loan, Mortgage Loan, and Student Loan",558
"Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Payday Loan, and Mortgage Loan",264
"Not Specified, Student Loan, Auto Loan, Payday Loan, Mortgage Loan, Student Loan, Auto Loan, and Debt Consolidation Loan",737
"Debt Consolidation Loan, Not Specified, Not Specified, Auto Loan, Payday Loan, Auto Loan, and Student Loan",139
"Payday Loan, Auto Loan, Personal Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, and Payday Loan",186
"Not Specified, Debt Consolidation Loan, Not Specified, Payday Loan, Home Equity Loan, and Payday Loan",847
"Credit-Builder Loan, Not Specified, Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, and Personal Loan",833
"Debt Consolidation Loan, Credit-Builder Loan, Not Specified, Personal Loan, Home Equity Loan, and Not Specified",217
"Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Payday Loan, and Home Equity Loan",557
"Credit-Builder Loan, Auto Loan, Not Specified, and Not Specified",879
"Payday Loan, Mortgage Loan, Debt Consolidation Loan, Not Specified, and Mortgage Loan",141
"Auto Loan, Home Equity Loan, Home Equity Loan, Not Specified, Student Loan, Credit-Builder Loan, and Student Loan",735
"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, and Student Loan",547
"Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, and Auto Loan",210
"Home Equity Loan, Credit-Builder Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, and Payday Loan",436
"Auto Loan, Personal Loan, Payday Loan, Mortgage Loan, Auto Loan, Payday Loan, and Debt Consolidation Loan",927
"Auto Loan, Payday Loan, Mortgage Loan, and Payday Loan",395
"Mortgage Loan, Not Specified, Not Specified, Home Equity Loan, and Payday Loan",848
"Personal Loan, Payday Loan, Debt Consolidation Loan, and Personal Loan",905
"Mortgage Loan, Credit-Builder Loan, Personal Loan, and Student Loan",448
"Payday Loan, Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Not Specified",167
"Credit-Builder Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Student Loan, and Debt Consolidation Loan",824
"Payday Loan, Credit-Builder Loan, Not Specified, Payday Loan, Debt Consolidation Loan, Mortgage Loan, Auto Loan, and Home Equity Loan",645
"Personal Loan, Debt Consolidation Loan, Student Loan, and Credit-Builder Loan",876
"Home Equity Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, Home Equity Loan, Mortgage Loan, and Personal Loan",773
"Auto Loan, Home Equity Loan, Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, and Student Loan",693
"Credit-Builder Loan, Not Specified, Debt Consolidation Loan, Personal Loan, Student Loan, Auto Loan, and Mortgage Loan",158
"Personal Loan, Not Specified, Home Equity Loan, Payday Loan, and Auto Loan",298
"Home Equity Loan, Credit-Builder Loan, Mortgage Loan, and Payday Loan",206
"Payday Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",263
"Mortgage Loan, Personal Loan, Payday Loan, Home Equity Loan, Not Specified, and Student Loan",658
"Home Equity Loan, Not Specified, Mortgage Loan, and Auto Loan",314
"Not Specified, Student Loan, and Debt Consolidation Loan",155
"Credit-Builder Loan, Mortgage Loan, Home Equity Loan, and Payday Loan",850
"Home Equity Loan, Home Equity Loan, Personal Loan, Not Specified, and Personal Loan",114
"Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Not Specified, Auto Loan, and Auto Loan",931
"Home Equity Loan, Credit-Builder Loan, Auto Loan, and Payday Loan",128
"Credit-Builder Loan, Auto Loan, Home Equity Loan, Debt Consolidation Loan, and Personal Loan",152
"Student Loan, Personal Loan, Not Specified, Home Equity Loan, Mortgage Loan, Personal Loan, Student Loan, Home Equity Loan, and Debt Consolidation Loan",844
"Home Equity Loan, Payday Loan, Not Specified, Auto Loan, Auto Loan, Payday Loan, and Not Specified",367
"Personal Loan, Mortgage Loan, Personal Loan, Home Equity Loan, Not Specified, Home Equity Loan, Personal Loan, and Payday Loan",100
"Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Auto Loan, Student Loan, Mortgage Loan, and Auto Loan",286
"Mortgage Loan, Payday Loan, Mortgage Loan, and Personal Loan",752
"Not Specified, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",842
"Credit-Builder Loan, Payday Loan, Student Loan, and Student Loan",394
"Debt Consolidation Loan, Payday Loan, Not Specified, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, and Personal Loan",923
"Personal Loan, Credit-Builder Loan, Personal Loan, and Auto Loan",609
"Not Specified, Auto Loan, Not Specified, and Mortgage Loan",183
"Auto Loan, Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, and Mortgage Loan",180
"Home Equity Loan, Mortgage Loan, Auto Loan, Not Specified, Not Specified, Auto Loan, and Debt Consolidation Loan",299
"Student Loan, Mortgage Loan, Personal Loan, Home Equity Loan, Auto Loan, Student Loan, Not Specified, and Credit-Builder Loan",641
"Credit-Builder Loan, Auto Loan, Debt Consolidation Loan, and Personal Loan",409
"Credit-Builder Loan, Personal Loan, Not Specified, Student Loan, Auto Loan, Home Equity Loan, Payday Loan, and Credit-Builder Loan",545
"Payday Loan, Credit-Builder Loan, Auto Loan, Student Loan, Personal Loan, Debt Consolidation Loan, and Home Equity Loan",412
"Mortgage Loan, Credit-Builder Loan, Payday Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, and Auto Loan",445
"Credit-Builder Loan, Payday Loan, Auto Loan, Mortgage Loan, Personal Loan, Personal Loan, Credit-Builder Loan, and Auto Loan",144
"Personal Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Personal Loan, Student Loan, Credit-Builder Loan, Mortgage Loan, and Mortgage Loan",251
"Personal Loan, Auto Loan, Payday Loan, Not Specified, Payday Loan, Student Loan, Not Specified, and Student Loan",586
"Not Specified, Personal Loan, Auto Loan, Not Specified, Personal Loan, and Mortgage Loan",774
"Payday Loan, Auto Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Mortgage Loan, and Home Equity Loan",312
"Student Loan, Mortgage Loan, Student Loan, Personal Loan, and Home Equity Loan",905
"Not Specified, Student Loan, Payday Loan, and Home Equity Loan",681
"Mortgage Loan, Personal Loan, Student Loan, Home Equity Loan, Personal Loan, Student Loan, and Auto Loan",811
"Payday Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, Auto Loan, Payday Loan, Personal Loan, Mortgage Loan, and Payday Loan",493
"Not Specified, Mortgage Loan, Payday Loan, and Payday Loan",683
"Home Equity Loan, Student Loan, Not Specified, Payday Loan, Home Equity Loan, and Home Equity Loan",676
"Auto Loan, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Student Loan, Student Loan, and Mortgage Loan",935
"Personal Loan, Debt Consolidation Loan, Personal Loan, and Personal Loan",294
"Debt Consolidation Loan, Personal Loan, Personal Loan, Personal Loan, and Credit-Builder Loan",637
"Home Equity Loan, Payday Loan, Student Loan, and Student Loan",299
"Debt Consolidation Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Auto Loan, Personal Loan, Auto Loan, Debt Consolidation Loan, and Credit-Builder Loan",753
"Personal Loan, Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, Mortgage Loan, and Auto Loan",668
"Mortgage Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",766
"Student Loan, Auto Loan, Auto Loan, Payday Loan, Auto Loan, Personal Loan, and Personal Loan",985
"Credit-Builder Loan, Mortgage Loan, Personal Loan, Credit-Builder Loan, and Mortgage Loan",214
"Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, and Auto Loan",535
"Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Payday Loan, Mortgage Loan, Not Specified, and Student Loan",543
"Student Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, and Student Loan",925
"Credit-Builder Loan, Student Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, and Personal Loan",733
"Payday Loan, Personal Loan, Payday Loan, Debt Consolidation Loan, Payday Loan, Debt Consolidation Loan, Personal Loan, and Not Specified",900
"Not Specified, Home Equity Loan, Personal Loan, and Home Equity Loan",289
"Personal Loan, Home Equity Loan, Payday Loan, Student Loan, Personal Loan, Credit-Builder Loan, Student Loan, Not Specified, and Mortgage Loan",248
"Debt Consolidation Loan, Not Specified, Credit-Builder Loan, and Credit-Builder Loan",357
"Mortgage Loan, Debt Consolidation Loan, Not Specified, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",572
"Not Specified, Student Loan, Not Specified, Mortgage Loan, Home Equity Loan, and Payday Loan",564
"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Auto Loan, Payday Loan, Debt Consolidation Loan, Payday Loan, and Credit-Builder Loan",726
"Student Loan, Personal Loan, Student Loan, Not Specified, Mortgage Loan, Auto Loan, Mortgage Loan, and Not Specified",301
"Payday Loan, Payday Loan, Student Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, Home Equity Loan, Credit-Builder Loan, and Auto Loan",298
"Not Specified, Auto Loan, Auto Loan, and Student Loan",347
"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",481
"Home Equity Loan, Payday Loan, Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, Mortgage Loan, and Home Equity Loan",430
"Mortgage Loan, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Personal Loan",329
"Auto Loan, Payday Loan, Personal Loan, Auto Loan, and Credit-Builder Loan",649
"Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",441
"Mortgage Loan, Debt Consolidation Loan, Student Loan, Personal Loan, Not Specified, and Home Equity Loan",266
"Debt Consolidation Loan, Personal Loan, Auto Loan, and Mortgage Loan",145
"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",889
"Mortgage Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Credit-Builder Loan",561
"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan",538
"Personal Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Student Loan",278
"Student Loan, Not Specified, Auto Loan, Payday Loan, and Student Loan",296
"Not Specified, Personal Loan, Not Specified, Personal Loan, and Credit-Builder Loan",341
"Debt Consolidation Loan, Auto Loan, Mortgage Loan, Home Equity Loan, Personal Loan, Debt Consolidation Loan, and Auto Loan",570
"Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, and Debt Consolidation Loan",959
"Credit-Builder Loan, Auto Loan, Payday Loan, Auto Loan, Personal Loan, Not Specified, and Mortgage Loan",196
"Credit-Builder Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, Student Loan, Mortgage Loan, and Debt Consolidation Loan",813
"Payday Loan, Home Equity Loan, and Auto Loan",476
"Payday Loan, Auto Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Payday Loan",900
"Student Loan, Auto Loan, Payday Loan, Personal Loan, Home Equity Loan, Mortgage Loan, and Credit-Builder Loan",298
"Credit-Builder Loan, Debt Consolidation Loan, Auto Loan, Payday Loan, and Student Loan",836
"Student Loan, Auto Loan, Home Equity Loan, Not Specified, Mortgage Loan, and Mortgage Loan",249
"Auto Loan, Mortgage Loan, Student Loan, Personal Loan, and Student Loan",447
"Credit-Builder Loan, Credit-Builder Loan, Student Loan, and Credit-Builder Loan",182
"Personal Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, and Student Loan",912
"Debt Consolidation Loan, Auto Loan, Mortgage Loan, and Credit-Builder Loan",121
"Personal Loan, Credit-Builder Loan, Not Specified, Personal Loan, Home Equity Loan, Student Loan, and Debt Consolidation Loan",424
"Credit-Builder Loan, Mortgage Loan, Auto Loan, and Mortgage Loan",835
"Home Equity Loan, Not Specified, Student Loan, Auto Loan, Debt Consolidation Loan, and Credit-Builder Loan",601
"Debt Consolidation Loan, Student Loan, Payday Loan, Not Specified, and Auto Loan",487
"Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Student Loan, Credit-Builder Loan, Mortgage Loan, and Personal Loan",823
"Home Equity Loan, Credit-Builder Loan, Auto Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",932
"Auto Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Credit-Builder Loan, and Student Loan",178
"Personal Loan, Student Loan, Auto Loan, Mortgage Loan, Payday Loan, Auto Loan, and Debt Consolidation Loan",884
"Personal Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, Not Specified, Debt Consolidation Loan, Auto Loan, Not Specified, and Student Loan",493
"Not Specified, Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, and Debt Consolidation Loan",999
"Home Equity Loan, Payday Loan, Home Equity Loan, Home Equity Loan, and Not Specified",884
"Not Specified, Payday Loan, Personal Loan, Not Specified, Personal Loan, Mortgage Loan, and Not Specified",813
"Debt Consolidation Loan, Mortgage Loan, Personal Loan, Personal Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Credit-Builder Loan",561
"Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",493
"Payday Loan, Personal Loan, Not Specified, Personal Loan, Debt Consolidation Loan, and Payday Loan",368
"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan",573
"Auto Loan, Payday Loan, Personal Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",876
"Auto Loan, Home Equity Loan, Debt Consolidation Loan, and Debt Consolidation Loan",580
"Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, and Student Loan",950
"Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",903
"Student Loan, Auto Loan, Student Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",174
"Student Loan, Payday Loan, and Payday Loan",334
"Mortgage Loan, Home Equity Loan, Auto Loan, and Personal Loan",808
"Personal Loan, Auto Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",661
"Student Loan, Not Specified, Debt Consolidation Loan, Auto Loan, and Auto Loan",265
"Student Loan, Auto Loan, Auto Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",307
"Payday Loan, Home Equity Loan, Mortgage Loan, Payday Loan, Payday Loan, and Mortgage Loan",890
"Payday Loan, Payday Loan, Credit-Builder Loan, Auto Loan, Auto Loan, Auto Loan, and Student Loan",884
"Not Specified, Home Equity Loan, Personal Loan, Not Specified, Not Specified, Auto Loan, Auto Loan, Debt Consolidation Loan, and Not Specified",843
"Personal Loan, Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Personal Loan, and Mortgage Loan",701
"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, and Debt Consolidation Loan",857
"Student Loan, Personal Loan, Credit-Builder Loan, Auto Loan, Not Specified, and Personal Loan",494
"Home Equity Loan, Auto Loan, Not Specified, and Credit-Builder Loan",995
"Home Equity Loan, Home Equity Loan, Home Equity Loan, and Payday Loan",322
"Student Loan, Auto Loan, Not Specified, Personal Loan, and Auto Loan",203
"Personal Loan, Student Loan, Payday Loan, and Home Equity Loan",209
"Payday Loan, Auto Loan, Student Loan, Student Loan, Payday Loan, Not Specified, Auto Loan, and Not Specified",747
"Payday Loan, Mortgage Loan, Payday Loan, Payday Loan, Auto Loan, and Auto Loan",402
"Not Specified, Credit-Builder Loan, Home Equity Loan, and Payday Loan",648
"Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Personal Loan",393
"Auto Loan, Not Specified, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",622
"Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Payday Loan, and Debt Consolidation Loan",317
"Not Specified, Home Equity Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, Personal Loan, and Debt Consolidation Loan",866
"Personal Loan, Payday Loan, Personal Loan, Student Loan, Mortgage Loan, Auto Loan, Not Specified, and Payday Loan",242
"Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, and Not Specified",661
"Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, Auto Loan, and Auto Loan",651
"Debt Consolidation Loan, Personal Loan, Not Specified, Credit-Builder Loan, Auto Loan, Not Specified, Mortgage Loan, Not Specified, and Student Loan",227
"Personal Loan, Student Loan, Personal Loan, Mortgage Loan, and Student Loan",648
"Credit-Builder Loan, Credit-Builder Loan, Not Specified, Payday Loan, Home Equity Loan, Student Loan, and Mortgage Loan",892
"Auto Loan, Personal Loan, Not Specified, Personal Loan, and Personal Loan",367
"Auto Loan, Auto Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Not Specified, and Mortgage Loan",811
"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, and Mortgage Loan",266
"Personal Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, Auto Loan, Auto Loan, Student Loan, and Personal Loan",594
"Student Loan, Debt Consolidation Loan, Credit-Builder Loan, Mortgage Loan, Mortgage Loan, and Home Equity Loan",140
"Mortgage Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",103
"Home Equity Loan, Home Equity Loan, and Credit-Builder Loan",403
"Payday Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",854
"Payday Loan, Student Loan, Payday Loan, Student Loan, and Student Loan",583
"Student Loan, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",244
"Credit-Builder Loan, Payday Loan, Payday Loan, Student Loan, Payday Loan, and Auto Loan",895
"Payday Loan, Not Specified, and Student Loan",240
"Student Loan, Credit-Builder Loan, Payday Loan, Debt Consolidation Loan, Not Specified, and Home Equity Loan",762
"Personal Loan, Home Equity Loan, and Not Specified",632
"Student Loan, Debt Consolidation Loan, and Not Specified",452
"Mortgage Loan, Student Loan, Mortgage Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",879
"Debt Consolidation Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Personal Loan, Personal Loan, Mortgage Loan, and Payday Loan",782
"Home Equity Loan, Not Specified, Mortgage Loan, and Not Specified",649
"Mortgage Loan, Not Specified, Debt Consolidation Loan, Debt Consolidation Loan, Auto Loan, Not Specified, and Auto Loan",127
"Debt Consolidation Loan, Auto Loan, Auto Loan, and Not Specified",994
"Debt Consolidation Loan, Home Equity Loan, Auto Loan, and Auto Loan",259
"Credit-Builder Loan, Mortgage Loan, Payday Loan, Auto Loan, Not Specified, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",243
"Credit-Builder Loan, Auto Loan, Student Loan, Not Specified, and Mortgage Loan",889
"Auto Loan, Mortgage Loan, Not Specified, Credit-Builder Loan, and Mortgage Loan",114
"Mortgage Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Auto Loan, Payday Loan, and Mortgage Loan",547
"Home Equity Loan, Not Specified, and Debt Consolidation Loan",812
"Student Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, and Personal Loan",568
"Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, Mortgage Loan, Credit-Builder Loan, Payday Loan, and Personal Loan",108
"Student Loan, Personal Loan, Student Loan, and Mortgage Loan",910
"Payday Loan, Auto Loan, Not Specified, Auto Loan, and Not Specified",241
"Mortgage Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Mortgage Loan, Personal Loan, and Payday Loan",919
"Auto Loan, Home Equity Loan, Debt Consolidation Loan, Personal Loan, and Home Equity Loan",827
"Student Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, Auto Loan, and Personal Loan",210
"Not Specified, Personal Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, and Mortgage Loan",453
"Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Student Loan, Credit-Builder Loan, Mortgage Loan, and Payday Loan",301
"Auto Loan, Credit-Builder Loan, Student Loan, and Auto Loan",724
"Mortgage Loan, Credit-Builder Loan, Auto Loan, and Not Specified",241
"Auto Loan, Home Equity Loan, Debt Consolidation Loan, and Not Specified",209
"Credit-Builder Loan, Mortgage Loan, Auto Loan, and Credit-Builder Loan",431
"Mortgage Loan, Not Specified, Debt Consolidation Loan, Not Specified, Personal Loan, and Mortgage Loan",503
"Mortgage Loan, Credit-Builder Loan, Student Loan, and Not Specified",776
"Auto Loan, Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Not Specified, Home Equity Loan, Student Loan, and Debt Consolidation Loan",647
"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Student Loan, Payday Loan, and Credit-Builder Loan",384
"Debt Consolidation Loan, Credit-Builder Loan, Not Specified, Payday Loan, Home Equity Loan, Home Equity Loan, and Debt Consolidation Loan",699
"Personal Loan, Home Equity Loan, Mortgage Loan, and Student Loan",960
